BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;59;7680;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;90;13016;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;167;27344;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;309;53520;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;591;92648;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;1146;67036;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;2271;61952;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;29;7680;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;45;13016;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;84;27344;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;159;53520;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;299;92648;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;578;67036;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;1140;61952;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;15;7680;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;23;13016;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;44;27344;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;81;53520;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;154;92648;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;294;67036;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;580;61952;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;9;7680;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;13;13016;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;25;27344;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;46;53520;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;87;92648;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;162;67036;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;316;61952;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;17;7680;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;30;13016;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;15;27344;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;47;53520;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;71;92648;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;102;67036;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;162;61952;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;4;7680;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;9;13016;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;29;27344;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;95;53520;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;233;92648;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;478;67036;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;971;61952;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;7;7680;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;14;13016;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;34;27344;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;83;53520;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;164;92648;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;287;67036;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;536;61952;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;5;7680;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;9;13016;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;20;27344;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;46;53520;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;90;92648;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;151;67036;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;273;61952;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;4;7680;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;7;13016;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;14;27344;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;30;53520;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;56;92648;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;85;67036;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;151;61952;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;6;7680;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;7;13016;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;14;27344;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;26;53520;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;43;92648;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;47;67036;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;78;61952;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;68;7680;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;72;13016;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;83;27344;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;104;53520;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;144;92648;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;215;67036;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;360;61952;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;109;7680;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;79;13016;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;93;27344;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;76;53520;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;106;92648;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;134;67036;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;212;61952;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;114;7680;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;115;13016;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;114;27344;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;127;53520;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;144;92648;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;97;67036;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;121;61952;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;127;7680;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;94;13016;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;91;27344;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;110;53520;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;156;92648;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;142;67036;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;123;61952;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;94;7680;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;103;13016;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;119;27344;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;129;53520;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;181;92648;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;171;67036;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;143;61952;
